SP	LA	SLA	LDMC	RK	RV	SDM
Achyrocline_satureioides	169.86	11.22	30.39	2	184.5716082	0.040028986
Agarista_hispidula	68.99	4	49.52	1	29.54567416	0.071868807
Baccharis_altimontana	1313.29	7.56	40	1	33.10049628	0.038447552
Baccharis_glaziovii	160.51	15.27	30.92	1	158.9474303	0.103815291
Baccharis_itatiaiae	425.35	6.06	34.78	1	0	0.236555556
Baccharis_retusa	429.69	10.85	32.33	1	0	0.330666667
Baccharis_stylosa	777.8	8.54	35.32	1	0	0.383688312
Baccharis_tarchonanthoides	1019.73	6.89	39.97	1	24.88579891	0.121550388
Baccharis_uncinella	39.49	9.15	43.58	1	0	0.148104762
Cerastium_dicrotrichum	67.08	22.6	19.26	2	34.76875909	0.248632709
Chionolaena_capitata	7.12	19.02	42.52	1	9.673687892	0.068147098
Chusquea_pinifolia	39.32	11.32	53.88	1	0.558560168	1.326666667
Cortaderia_modesta	2728.1	6.65	42.49	3	25.27692338	0.074756527
Eryngium_glaziovianum	3918.8	7.08	32.17	3	35.84382481	0.723542125
Escallonia_laevis	261.53	7.41	39.7	1	42.45753622	0.009974361
Esterhazya_splendida	109.55	11.38	20.85	1	105.6662028	0.143912771
Fernseea_itatiaiae	957.91	6.62	20.52	3	142.0866903	0.616
Galium_humile	13.1	17.11	30.7	2	268.6308492	1.08
Gamochaeta_purpurea	224.71	12.51	28.96	3	29.00215538	0.030631502
Gaultheria_serrata	878.44	4.86	43.19	1	13.57564362	0.053489122
Gaylussacia_amoena	131.35	7.3	42.81	1	37.19346884	1.368571429
Gaylussacia_fasciculata	147.7	7.84	44.23	1	69.84981364	0.01160179
Gelasine_coerulea	3626.75	7.93	27.7	4	123.0666133	2.645333333
Geranium_brasiliense	1006.42	18.63	29.6	3	98.13406291	2.116
Graphistylis_itatiaiae	2588.09	7.18	32	1	0	0.477333333
Lepechinia_speciosa	1805.67	8.5	31.48	1	0	4.215333333
Leptostelma_maximun	4587.59	21.36	15.96	4	93.82647846	0.192927632
Lupinus_gilbertianus	852.65	19.09	16.96	1	0	17.574
Machaerina_ensifolia	5738.6	3.67	34.57	3	298.5059177	1.565714286
Mimosa_itatiaiensis	183.5	16.59	42.46	1	27.73402122	4.533666667
Mimosa_monticola	210.95	25.19	35.06	1	46.80934175	5.088969697
Myrceugenia_alpigena	131.28	4.07	50.21	1	3.664087115	0.442857143
Myrsine_gardneriana	1462.52	7.99	35.22	1	22.50953038	4.548
Oxalis_confertissima	49.88	23.12	26.21	3	24.84076366	0.084615385
Paepalanthus_itatiaiensis	892.74	7.69	29.17	3	93.25284091	0.196506227
Plantago_guilleminiana	1670.54	13.27	18.92	3	117.8779133	1.173952381
Pleroma_hospita	125.8	8.64	39.46	1	36.73851698	0.035897306
Polygala_brasiliensis	24.51	12.38	29.86	2	42.36321039	0.4
Polygala_campestris	9.22	25	30.19	2	11.95538998	0.248802521
Roupala_montana	1588.9	5.05	45.27	1	10.66602555	8.208166667
Sisyrinchium_alatum	143.2	8.96	36.83	3	83.61734779	0.577777778
