SP	LA	SLA	LDMC	RK	RV	SDM	LF	SpType
AG	2588.09	7.18	32	1	0	0.477333333	woody	other
AS	777.8	8.54	35.32	1	0	0.383688312	woody	other
BA	425.35	6.06	34.78	1	0	0.236555556	woody	other
BB	1019.73	6.89	39.97	1	24.88579891	0.121550388	woody	other
BPV	429.69	10.85	32.33	1	0	0.330666667	woody	other
BU	39.49	9.15	43.58	1	0	0.148104762	woody	other
CAP	3626.75	7.93	27.7	4	123.0666133	2.645333333	non-woody	other
CC	1588.9	5.05	45.27	1	10.66602555	8.208166667	woody	other
CH	39.32	11.32	53.88	1	0.558560168	1.326666667	non-woody	grass
CHI	7.12	19.02	42.52	1	9.673687892	0.068147098	woody	other
CM	2728.1	6.65	42.49	3	25.27692338	0.074756527	non-woody	grass
DI	67.08	22.6	19.26	2	34.76875909	0.248632709	non-woody	other
ER	3918.8	7.08	32.17	3	35.84382481	0.723542125	non-woody	other
ERI	261.53	7.41	39.7	1	42.45753622	0.009974361	woody	other
ET	1313.29	7.56	40	1	33.10049628	0.038447552	woody	other
FAB	49.88	23.12	26.21	3	24.84076366	0.084615385	woody	other
FF	68.99	4	49.52	1	29.54567416	0.071868807	woody	other
FLD	4587.59	21.36	15.96	4	93.82647846	0.192927632	non-woody	other
FR	24.51	12.38	29.86	2	42.36321039	0.4	non-woody	other
GAY	147.7	7.84	44.23	1	69.84981364	0.01160179	woody	other
GB	1006.42	18.63	29.6	3	98.13406291	2.116	non-woody	other
GH	13.1	17.11	30.7	2	268.6308492	1.08	non-woody	other
GO	131.28	4.07	50.21	1	3.664087115	0.442857143	woody	other
GS	878.44	4.86	43.19	1	13.57564362	0.053489122	woody	other
IR	143.2	8.96	36.83	3	83.61734779	0.577777778	graminoid	other
LG	852.65	19.09	16.96	1	0	17.574	woody	other
MC	5738.6	3.67	34.57	3	298.5059177	1.565714286	graminoid	other
ME	125.8	8.64	39.46	1	36.73851698	0.035897306	woody	other
MI	183.5	16.59	42.46	1	27.73402122	4.533666667	woody	other
MIM	210.95	25.19	35.06	1	46.80934175	5.088969697	woody	other
MY	1462.52	7.99	35.22	1	22.50953038	4.548	woody	other
PB	160.51	15.27	30.92	1	158.9474303	0.103815291	non-woody	other
PE	892.74	7.69	29.17	3	93.25284091	0.196506227	non-woody	other
PGI	1670.54	13.27	18.92	3	117.8779133	1.173952381	non-woody	other
POLY	9.22	25	30.19	2	11.95538998	0.248802521	non-woody	other
PON	131.35	7.3	42.81	1	37.19346884	1.368571429	woody	other
RAS	224.71	12.51	28.96	3	29.00215538	0.030631502	non-woody	other
SAT	169.86	11.22	30.39	2	184.5716082	0.040028986	non-woody	other
SH	109.55	11.38	20.85	1	105.6662028	0.143912771	woody	other
SW	1805.67	8.5	31.48	1	0	4.215333333	woody	other
VI	957.91	6.62	20.52	3	142.0866903	0.616	non-woody	other
