SP	Axis_1	Axis_2	MCR	BP	FMC_ig	C	S	R
BU	-0.137421539	-0.028768427	0.463	90.39	119.59	1.382849766	97.90047694	0.716673298
CH	-0.177417277	-0.012102972	0.2322	72.45	101.06	62.22937205	12.75224261	25.01838533
CHI	-0.138383991	0.101738278	0.3551	81.66	144.83	0	74.49653784	25.50346216
CM	0.086891378	-0.159420267	1.0796	94.68	121.99	34.13014848	65.62243172	0.247419804
ER	0.164622753	-0.126405522	0.2351	66.25	158.51	47.7683889	52.2316111	0
FLD	0.389548371	0.167141337	0.1345	36.13	190.90	62.22937205	12.75224261	25.01838533
MC	0.321824401	-0.281497077	0.9747	92.14	42.09	38.24639478	61.75360522	0
ME	-0.095111183	-0.029380224	0.5476	83.26	141.76	6.983780045	92.23931232	0.776907638
PE	0.136505771	-0.046301601	0.2981	55.89	86.62	32.46959533	67.53040467	0
RAS	0.091211139	0.035059625	0.0299	30.21	286.88	13.06752978	71.69364389	15.23882633
SAT	0.073976883	0.013555197	0.4966	87.15	156.45	11.81715882	77.94179926	10.24104192
