 ;genus;family
Achyrocline_satureioides;Achyrocline;Asteraceae
Agarista_hispidula;Agarista;Ericaceae
Baccharis_altimontana;Baccharis;Asteraceae
Baccharis_glaziovii;Baccharis;Asteraceae
Baccharis_itatiaiae;Baccharis;Asteraceae
Baccharis_retusa;Baccharis;Asteraceae
Baccharis_stylosa;Baccharis;Asteraceae
Baccharis_tarchonanthoides;Baccharis;Asteraceae
Baccharis_uncinella;Baccharis;Asteraceae
Cerastium_dicrotrichum;Cerastium;Caryophyllaceae
Chionolaena_capitata;Chionolaena;Asteraceae
Chusquea_pinifolia;Chusquea;Poaceae
Cortaderia_modesta;Cortaderia;Poaceae
Eryngium_glaziovianum;Eryngium;Apiaceae
Escallonia_laevis;Escallonia;Escalloniaceae
Esterhazya_splendida;Esterhazya;Orobanchaceae
Fernseea_itatiaiae;Fernseea;Bromeliaceae
Galium_humile;Galium;Rubiaceae
Gamochaeta_purpurea;Gamochaeta;Asteraceae
Gaultheria_serrata;Gaultheria;Ericaceae
Gaylussacia_amoena;Gaylussacia;Ericaceae
Gaylussacia_fasciculata;Gaylussacia;Ericaceae
Gelasine_coerulea;Gelasine;Iridaceae
Geranium_brasiliense;Geranium;Geraniaceae
Graphistylis_itatiaiae;Graphistylis;Asteraceae
Lepechinia_speciosa;Lepechinia;Lamiaceae
Leptostelma_maximun;Leptostelma;Asteraceae
Lupinus_gilbertianus;Lupinus;Fabaceae
Machaerina_ensifolia;Machaerina;Cyperaceae
Mimosa_itatiaiensis;Mimosa;Fabaceae
Mimosa_monticola;Mimosa;Fabaceae
Myrceugenia_alpigena;Myrceugenia;Myrtaceae
Myrsine_gardneriana;Myrsine;Primulaceae
Oxalis_confertissima;Oxalis;Oxalidaceae
Paepalanthus_itatiaiensis;Paepalanthus;Eriocaulaceae
Plantago_guilleminiana;Plantago;Plantaginaceae
Pleroma_hospita;Pleroma;Melastomataceae
Polygala_brasiliensis;Polygala;Polygalaceae
Polygala_campestris;Polygala;Polygalaceae
Roupala_montana;Roupala;Proteaceae
Sisyrinchium_alatum;Sisyrinchium;Iridaceae
